"Supplementary Table 2: Description of the 1,893 libraries that comprise the mammalian evo-devo resource "														
														
library ID	Used library?	Species (strain)	Organ	Developmental stage	Sex	Sequencing runs (machine run lane)	Stage (detail)	Total number reads	Total number aligned reads	% aligned reads	Extraction protocol	RQN	RIN	HDBR ID
1634	yes	Chicken (red junglefowl)	Liver	e17	Female	VADER 126 lane 2	e17	24138391	23430445	97%	QIAgen RNeasy QIAzol	9	NA	NA
1635	yes	Chicken (red junglefowl)	Ovary	e17	Female	VADER 126 lane 3	e17	22692319	21562301	95%	QIAgen RNeasy QIAzol	8.9	NA	NA
1810	yes	Chicken (red junglefowl)	Hindbrain/Cerebellum	e17	Female	OBIWAN 47 lane 5	e17	34921880	33057833	95%	QIAgen RNeasy QIAzol	NA	9.7	NA
2476	yes	Chicken (red junglefowl)	Heart	e17	Female	VADER 177 lane 8	e17	41737109	40007461	96%	QIAgen RNeasy QIAzol	8.2	NA	NA
1429	yes	Chicken (red junglefowl)	Forebrain/Cerebrum	P0	Female	OBIWAN 20 lane 5	P0	35458973	33843565	95%	QIAgen RNeasy QIAzol	6.5	NA	NA
1430	yes	Chicken (red junglefowl)	Ovary	P0	Female	OBIWAN 20 lane 5	P0	27852984	26330261	95%	QIAgen RNeasy QIAzol	7.3	NA	NA
1476	yes	Chicken (red junglefowl)	Heart	P0	Female	OBIWAN 94 lane 1	P0	34554617	33567349	97%	QIAgen RNeasy QIAzol	8.5	NA	NA
1487	yes	Chicken (red junglefowl)	Hindbrain/Cerebellum	P0	Female	OBIWAN 47 lane 5	P0	31101428	29766672	96%	QIAgen RNeasy QIAzol	8.9	NA	NA
1488	yes	Chicken (red junglefowl)	Kidney	P0	Female	VADER 177 lane 6	P0	42092579	40150328	95%	QIAgen RNeasy QIAzol	8	NA	NA
1489	yes	Chicken (red junglefowl)	Liver	P0	Female	VADER 194 lane 8 / OBIWAN 47 lane 8	P0	28954598	28067145	97%	QIAgen RNeasy QIAzol	8.3	NA	NA
1539	yes	Chicken (red junglefowl)	Forebrain/Cerebrum	P0	Male	VADER 108 lane 2	P0	28118911	26784605	95%	QIAgen RNeasy QIAzol	9	NA	NA
1540	yes	Chicken (red junglefowl)	Hindbrain/Cerebellum	P0	Male	OBIWAN 99 lane 8 / OBIWAN 45 lane 8	P0	40787026	39132278	96%	QIAgen RNeasy QIAzol	7.3	NA	NA
1541	yes	Chicken (red junglefowl)	Heart	P0	Male	VADER 177 lane 7	P0	41871630	40495685	97%	QIAgen RNeasy QIAzol	8.8	NA	NA
1542	yes	Chicken (red junglefowl)	Kidney	P0	Male	WINDU 3 lane 8	P0	42074437	40545786	96%	QIAgen RNeasy QIAzol	9	NA	NA
1543	yes	Chicken (red junglefowl)	Liver	P0	Male	OBIWAN 44 lane 7	P0	29046635	27356488	94%	QIAgen RNeasy QIAzol	9.3	NA	NA
1544	yes	Chicken (red junglefowl)	Testis	P0	Male	VADER 110 lane 2	P0	34180621	32378490	95%	QIAgen RNeasy QIAzol	8.8	NA	NA
